id,name,height,date_of_birth,known_for_movies
nm0000002,Lauren Bacall,174,1924-09-16,
nm0000110,Kenneth Branagh,177,1960-12-10,tt3402236
nm0000009,Richard Burton,175,1925-11-10,
nm0000114,Steve Buscemi,175,1957-12-13,tt4686844
nm0000014,Olivia de Havilland,163,1916-07-01,
nm0000130,Jamie Lee Curtis,170,1958-11-22,tt1502407
nm0000017,Marlene Dietrich,164,1901-12-27,
nm0000198,Gary Oldman,174,1958-03-21,tt4555426
nm0000029,Margaux Hemingway,183,1954-02-16,
nm0000234,Charlize Theron,177,1975-08-07,tt5610554
nm0000032,Charlton Heston,191,1923-10-04,
nm0000243,Denzel Washington,185,1954-12-28,tt2671706
nm0000033,Alfred Hitchcock,170,1899-08-13,
nm0000288,Christian Bale,183,1974-01-30,tt6266538
nm0000040,Stanley Kubrick,169,1928-07-26,
nm0000291,Angela Bassett,163,1958-08-16,tt1825683
nm0000041,Akira Kurosawa,182,1910-03-23,
nm0000353,Willem Dafoe,175,1955-07-22,tt5649144
nm0000042,Alan Ladd,168,1913-09-03,
nm0000368,Laura Dern,178,1967-02-10,tt4015500
nm0000057,David Niven,180,1910-03-01,
nm0000369,Matt Dillon,183,1964-02-18,tt4003440
nm0000061,Tyrone Power,180,1914-05-05,
nm0000383,Jennifer Ehle,170,1969-12-29,tt2392830
nm0000063,Anthony Quinn,188,1915-04-21,
nm0000385,Sam Elliott,188,1944-08-09,"tt1517451,tt5655222"
nm0000080,Orson Welles,183,1915-05-06,
nm0000389,Emilio Estevez,169,1962-05-12,tt3294746
nm0000086,Louis de Funès,164,1914-07-31,
nm0000391,Rupert Everett,193,1959-05-29,tt2404639
nm0000092,John Cleese,196,1939-10-27,
nm0000402,Carrie Fisher,155,1956-10-21,tt2527336
nm0000093,Brad Pitt,180,1963-12-18,
nm0000434,Mark Hamill,175,1951-09-25,tt2527336
nm0000096,Gillian Anderson,160,1968-08-09,
nm0000456,Holly Hunter,157,1958-03-20,tt5462602
nm0000099,Patricia Arquette,157,1968-04-08,
nm0000474,Michael Keaton,175,1951-09-05,tt4276820
nm0000104,Antonio Banderas,174,1960-08-10,
nm0000490,Spike Lee,165,1957-03-20,tt7349662
nm0000105,Adrienne Barbeau,157,1945-06-11,
nm0000546,Matthew Modine,191,1959-03-22,tt2932536
nm0000106,Drew Barrymore,163,1975-02-22,
nm0000596,Jonathan Pryce,183,1947-06-01,tt3750872
nm0000108,Luc Besson,172,1959-03-18,
