movie_id,avg_rating,total_votes,median_rating
tt0012494,7.7,4695,8
tt0038733,8.1,17693,8
tt0060908,7.5,3392,8
tt0069049,6.9,5014,7
tt0071145,8.2,789,8
tt0082620,3.6,236,3
tt0083907,7.5,174505,8
tt0085953,6.2,262,6
tt0095857,7,137,8
tt0097268,6.9,179,7
tt0100275,6.6,121,7
tt0116851,7.6,3149,8
tt0137204,8.6,264,9
tt0147855,7.3,171,8
tt0192669,2.6,449,2
tt0235166,3.6,145,4
tt0278422,5,109,8
tt0331314,5,319,5
tt0337383,8.2,493,9
tt0339091,2.4,943,2
tt0339736,5.5,2577,6
tt0347307,7.3,129,8
tt0352314,7.6,6014,8
tt0360556,4.9,15320,5
tt0361953,5.1,220,5
tt0365545,6.4,6732,7
tt0385887,7.2,4414,8
tt0427543,6.5,292,7
tt0437086,7.4,171427,8
tt0441881,7.1,1872,8
tt0443474,6.6,568,7
tt0448115,7.1,191155,7
tt0451201,6.3,382,9
tt0451279,7.4,507173,8
tt0456407,5.1,188,6
tt0460890,6.3,9426,7
tt0490215,7.1,88842,7
tt0491175,5.7,34001,6
tt0491203,6.2,16190,6
tt0493405,6,38693,6
tt0493407,4,745,4
tt0498381,4.5,35233,5
tt0499469,7.3,174,8.5
tt0765465,5,340,5
tt0800325,7,31672,7
tt0835802,5.4,1016,6
tt0837563,5.8,61560,6
tt0858419,5.5,295,6
tt0859635,6.1,21489,6
tt0862930,6.9,339,8
tt0915458,4.5,371,5
tt0926132,6.7,371,7
tt0972544,7,3542,8
tt0974015,6.4,345770,7
tt10002654,8,798,9
tt10006270,5.5,115,6
tt10008784,8.7,1238,9
tt10009434,5,201,9
tt10012964,7.9,179,8
tt10016532,6.4,269,7
tt10017956,7,228,8
tt10022384,5.6,165,6
tt10023080,7.6,134,9
tt10034272,7.9,188,8
tt10039344,5.4,3249,6
tt10039468,6.8,185,7
tt10045434,6.5,153,7
tt10046236,4.9,371,10
tt10048556,3.3,194,3
tt10055770,7.3,918,8
tt10076106,4.6,309,5
tt10076722,5.1,106,6
tt10077998,6.6,112,7
tt10080924,7.4,299,8
tt10084190,7.7,1254,10
tt10091696,7.5,578,10
tt10097364,6.3,132,6.5
tt10102350,2.4,447,1
tt10115562,6.4,392,7
tt10121762,7.3,526,8
tt10122038,7.5,104,8
tt10122392,7.5,184,8
tt10125662,3.4,256,9
tt10133300,8.4,613,9
tt10140922,6.2,187,6
tt10143498,6.4,137,7
tt10145122,6.9,702,7
tt10147382,6.6,623,7
tt10151260,7.5,534,8
